,path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
1207,68,1,53,59.60000610351562,4.123105625617661,-1,4,0.07779444576637096,40722936.03183229
1208,68,0,79,93.54998779296876,0.0,0,0,0.0,15229313.989278812
1209,69,10,69,78.65000915527344,3.6055512754639887,-3,-2,0.0522543663110723,4394001.973678262
1210,69,9,44,50.19999694824219,2.8284271247461903,2,-2,0.0642824346533225,1849366.4427034804
1211,69,8,41,47.25,4.47213595499958,-2,4,0.10907648670730682,30147184.67179946
1212,69,7,55,63.45001220703125,4.0,4,0,0.07272727272727272,105380002.52233627
1213,69,6,58,68.0,2.23606797749979,-1,-2,0.03855289616378948,76196791.85978343
1214,69,5,56,63.89999389648438,3.1622776601683795,-3,-1,0.05646924393157821,9242014.30416811
1215,69,4,65,75.94998168945312,4.123105625617661,4,1,0.0634323942402717,115944802.19476974
1216,69,3,56,64.70001220703125,2.8284271247461903,-2,-2,0.05050762722761054,61637625.30556724
1217,69,2,47,54.79998779296875,4.0,0,4,0.0851063829787234,41705192.03236672
1218,69,1,55,63.70001220703125,2.0,0,-2,0.03636363636363636,73815883.79835002
1219,69,0,54,64.9000244140625,2.0,0,-2,0.037037037037037035,28375587.03571698
1220,70,7,66,75.55000305175781,2.23606797749979,-2,-1,0.033879817840905914,35709466.18170724
1221,70,6,72,85.85000610351562,2.23606797749979,2,-1,0.03105649968749708,35767055.13567486
1222,70,5,63,73.10000610351562,0.0,0,0,0.0,8370418.738592193
1223,70,3,51,57.95001220703125,4.47213595499958,2,4,0.08768894029410941,25364289.94175334
1224,70,2,61,69.10003662109375,2.0,-2,0,0.032786885245901634,23625113.66626513
1225,70,1,54,62.79998779296875,2.23606797749979,-1,-2,0.04140866624999611,24787448.93673336
1226,70,0,73,89.04998779296875,4.47213595499958,4,-2,0.061262136369857265,15313374.883701535
1227,71,5,49,56.70000457763672,4.47213595499958,-2,4,0.09126808071427714,26599511.3739385
1228,71,4,47,53.30000305175781,0.0,0,0,0.0,71117084.22554599
1229,71,3,46,50.85000610351562,2.0,0,-2,0.043478260869565216,26163126.679653283
1230,71,2,41,42.85003662109375,0.0,0,0,0.0,7286382.947008829
1231,71,1,65,72.75003051757812,0.0,0,0,0.0,12702750.516736895
1232,71,0,63,72.94998168945312,2.23606797749979,-1,-2,0.03549314249999666,4221872.810617087
1233,72,9,74,76.74999237060547,1.0,-1,0,0.013513513513513514,3628492.232384376
1234,72,8,45,51.25,1.0,-1,0,0.022222222222222227,24440044.09119213
1235,72,7,63,74.64997863769531,2.8284271247461903,-2,-2,0.044895668646764926,87426225.24726202
1236,72,6,54,62.0999755859375,5.0,3,4,0.0925925925925926,58142557.23583674
1237,72,5,43,50.49993896484375,3.0,-3,0,0.06976744186046513,37253726.80880858
1238,72,4,40,47.80001831054688,4.123105625617661,4,-1,0.10307764064044153,14014028.451438138
1239,72,3,42,45.19998168945313,2.8284271247461903,-2,-2,0.06734350297014739,6097973.559965283
1240,72,2,52,54.60000610351562,1.0,0,-1,0.019230769230769232,6559268.113379842
1241,72,1,62,70.49993896484375,4.0,0,4,0.06451612903225806,5943689.447895883
1242,73,8,62,64.25000762939453,4.0,4,0,0.06451612903225806,4093130.971675972
1243,73,7,57,66.75,2.8284271247461903,-2,-2,0.049621528504319126,76715284.75597827
1244,73,6,63,70.84999084472656,4.123105625617661,-1,4,0.06544612104155016,29851871.44647712
1245,73,5,54,57.85000610351562,1.0,1,0,0.018518518518518517,8069499.833203836
1246,73,4,64,72.75003051757812,2.0,-2,0,0.03125,3926718.952471456
1247,73,3,69,78.20001220703125,4.47213595499958,4,-2,0.0648135645652113,29190044.252259925
1248,73,2,40,45.70004272460938,1.0,0,-1,0.025,46775782.83189082
1249,73,1,62,67.89996337890625,1.0,0,-1,0.016129032258064516,10769936.577154234
1250,73,0,56,62.050048828125,4.0,0,4,0.07142857142857142,8081379.324916404
1251,74,5,78,89.64999389648438,2.23606797749979,-2,1,0.028667538173074224,12267393.635252602
1252,74,4,76,91.14999389648438,4.47213595499958,4,-2,0.05884389414473131,101828649.21118416
1253,74,3,52,58.1500244140625,2.0,0,2,0.038461538461538464,27600483.625937477
1254,74,2,72,83.54998779296875,0.0,0,0,0.0,45776512.00537078
1255,74,1,78,83.10000610351562,0.0,0,0,0.0,7296134.829152705
