path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
138,2,69,124.54998779296876,2.23606797749979,-2,-1,0.03240678228260565,17757003.386433553
138,1,40,67.80010986328125,4.123105625617661,4,-1,0.10307764064044152,1145988.4950066688
138,0,58,106.95001220703124,1.4142135623730951,-1,-1,0.024382992454708537,12855685.353504544
139,6,48,83.25,2.23606797749979,-1,-2,0.04658474953124562,7983183.170005651
139,5,76,135.95001220703122,2.23606797749979,-1,-2,0.029421947072365656,53241543.75808521
139,4,47,83.5,5.656854249492381,4,4,0.12035860105302937,5717342.325061842
139,3,69,120.1500244140625,2.23606797749979,-1,-2,0.03240678228260565,6667996.091630863
139,2,66,120.5,3.1622776601683795,-3,-1,0.047913297881339086,31710052.307815634
139,1,63,112.75,2.23606797749979,2,1,0.03549314249999666,60202138.48315187
139,0,55,94.4000244140625,2.0,0,-2,0.03636363636363636,10848906.06383392
140,8,68,119.3499984741211,1.0,0,-1,0.014705882352941176,10705833.08831156
140,7,64,113.04998779296876,1.0,0,-1,0.015625,9869046.822106631
140,6,50,87.85000610351562,0.0,0,0,0.0,8490176.905371139
140,5,45,77.20001220703125,1.4142135623730951,-1,-1,0.03142696805273545,7370498.538850006
140,3,59,97.550048828125,2.23606797749979,-1,-2,0.03789945724575915,3338124.3511552396
140,2,67,112.5,1.4142135623730951,1,-1,0.021107665110046196,3856386.5965392883
140,1,69,113.74993896484376,1.4142135623730951,-1,1,0.02049584873004486,3857109.2785661253
140,0,47,86.10003662109375,1.0,0,-1,0.02127659574468085,81414599.30616036
141,8,76,133.30000305175778,1.4142135623730951,1,-1,0.018608073189119674,5969402.20356261
141,7,69,122.30001831054688,2.8284271247461903,-2,-2,0.04099169746008972,4364590.59041449
141,6,74,136.60000610351562,4.47213595499958,2,4,0.06043426966215648,61992479.87218207
141,5,63,111.0,2.0,-2,0,0.031746031746031744,23120057.9374777
141,4,54,94.7000732421875,4.0,4,0,0.07407407407407407,19176263.198856443
141,3,49,88.050048828125,2.0,0,-2,0.04081632653061224,17800604.906444896
141,2,57,98.89996337890624,2.0,0,-2,0.03508771929824561,10533199.994580196
141,1,52,92.2000732421875,4.47213595499958,-2,4,0.08600261451922268,14799624.393744675
141,0,42,72.90008544921875,2.0,-2,0,0.047619047619047616,8849817.854257135
142,7,76,140.19999694824222,2.0,-2,0,0.02631578947368421,10489794.23102767
142,5,61,112.30003356933594,2.8284271247461903,-2,-2,0.046367657782724434,2871279.880062396
142,4,61,106.74996948242188,4.0,0,4,0.06557377049180328,14013703.959583571
